Land_town,Heating_Degree_day,Altitude,Latitude,Longitude,Average_High_Temperature_in_Jan_2016,Average_Temperature_in_Jan_2016,Days_with_precipitation_Jan_2016,Residents_per_dwelling_ratio,Independent_Heat_System_Share_of_Dwellings,Independent_Hot_Water_System_Share_of_Dwellings,Share_of_buildings_built_before_1960,Share_of_buildings_built_after_1990,Average_building_age,Share_of_non-occupied_buildings,Rate_of_urban_population,Population_density_per__Sq_km,Share_of_houses_owned,Share_of_houses_rented,Average_habitable_area_per_resident_sqm,Average_size_of_dwellings_sqm,Average_family_size,Employees_population_ratio,Per_capita_income_€,Share_of_employees_in_the_industrial_sector,Tourist_accommodations_per_capita,Share_of_recycled_waste,Per_capita_recycled_waste_production_kg,Per_capita_urban_waste_production_kg,Per_capita_electr_energy_cons_in_the_domes_sector_kWh,Province
Torino,2617,239,45.07269755,7.679058202,8.129032258,4.096774194,5,2.253808939,0.471124604,0.517024974,0.520268789,0.11980619,69.50465995,0.157764078,0.972628549,333.6536208,0.69015569,0.23233615,41.25,91.97659238,2.14,0.33231633,23542.98422,0.397120917,0.031116967,0.5273,241.39,457.76,1025.964316,Torino
Vercelli,2571,130,45.32072945,8.412480901,7.838709677,4.016129032,6,2.256181065,0.688785942,0.745864739,0.656495029,0.081885054,81.8416862,0.248709477,0.953515579,83.52483901,0.68688784,0.21980009,47.65,105.9757985,2.14,0.239305757,21169.521,0.479843185,0.034635471,0.6391,294.5,460.79,851.2204661,Vercelli
Novara,2463,159,45.4405197,8.61673358,7.838709677,4.016129032,6,2.341195835,0.716800837,0.772360293,0.463497538,0.163117643,61.35960736,0.153836569,0.968155619,276.1706225,0.709708946,0.196631693,44.57,103.3775474,2.24,0.274697108,23131.46067,0.469109124,0.048859495,0.6792,323.23,475.86,1049.594346,Novara
Cuneo,3012,534,44.41731459,7.553826833,4.741935484,1.951612903,3,2.362941053,0.66293791,0.684837714,0.53291012,0.13101288,73.0368229,0.336851715,0.843505384,85.44071588,0.692490592,0.217648973,43.28,101.015857,2.26,0.317020761,20918.01652,0.469713923,0.067235549,0.6069,281.41,463.65,1023.581415,Cuneo
Asti,2617,123,44.91422787,8.195410223,7.903225807,4.129032258,7,2.307756765,0.639981485,0.635902332,0.688484918,0.074140762,86.83104059,0.24277285,0.834800274,143.4763452,0.69834728,0.210742681,47.64,108.4196269,2.23,0.241725766,20332.11772,0.443176849,0.035855213,0.6489,275.85,425.13,1090.563373,Asti
Alessandria,2559,95,44.91003435,8.645537022,7.258064516,3.806451613,11,2.196267832,0.640306348,0.805835021,0.667356224,0.070824746,84.07649026,0.251921865,0.894672412,119.8868906,0.705672791,0.210215673,48.92,106.190356,2.11,0.27042874,21145.38729,0.445198425,0.02761228,0.4952,268.69,542.64,1085.881432,Alessandria
Biella,2589,420,45.59330975,8.021359743,8.258064516,4.564516129,6,2.23526525,0.634155479,0.687712464,0.671995177,0.069550761,84.45556022,0.221448761,0.946880214,195.5048972,0.729080716,0.181247877,48.1,106.2860087,2.14,0.287701985,21449.81603,0.450559933,0.035026407,0.6136,291.51,475.05,1084.284042,Biella
Verbania,2426,197,45.9360433,8.541346095,7.935483871,4.370967742,7,2.23429854,0.753915969,0.803677702,0.579551275,0.096079637,75.55978725,0.353354661,0.975983377,70.6190398,0.697878355,0.204767525,42.5,94.22151431,2.13,0.217303948,20025.35322,0.410526618,0.22920007,0.6685,356.9,533.91,1057.846478,Verbania
Aosta,2850,583,45.75034068,7.302839198,3.64516129,1.322580645,11,2.165735854,0.470790198,0.629885256,0.399421564,0.172397038,58.87284822,0.500720418,0.960238475,38.91039656,0.655886812,0.225130537,39.6,84.88823419,2.06,0.309362333,22162.18985,0.292615157,0.429340416,0.556,318.51,572.85,1391.833421,Aosta
Varese,2652,382,45.82495714,8.813937045,7.870967742,4.661290323,6,2.408671245,0.75326505,0.81034028,0.369671066,0.156155518,54.16327392,0.13658504,0.986748268,742.8635154,0.749314878,0.169091013,42.35,101.2411086,2.31,0.306526312,23463.20397,0.493399587,0.027505413,0.7458,355.02,476.03,1066.24062,Varese
Como,2228,201,45.80516954,9.082038588,7.709677419,4.548387097,8,2.421632843,0.781529592,0.836716227,0.421782587,0.146770197,60.16574013,0.21388142,0.985836877,469.2513803,0.753254161,0.159898963,41.64,100.0460236,2.31,0.283507887,23053.47049,0.460004569,0.058638098,0.6499,307.57,473.26,1075.825988,Como
Sondrio,2755,307,46.18094723,9.857852714,7.0,3.370967742,8,2.396887469,0.568589196,0.709275471,0.394226505,0.186566944,56.72885565,0.496702432,0.983978011,56.77495371,0.782134592,0.120732712,39.74,94.21857974,2.27,0.296531242,20285.05683,0.328794972,0.174572992,0.5492,259.81,473.08,1094.594818,Sondrio
Milano,2404,122,45.46937193,9.173986901,7.516129032,4.209677419,8,2.248426393,0.440218167,0.551892109,0.353060737,0.149906936,48.26028996,0.060814868,0.994493849,2042.464136,0.713005046,0.223005512,39.42,87.85709074,2.08,0.57022696,28410.05281,0.242151485,0.029474542,0.6426,303.47,472.27,1184.85452,Milano
Bergamo,2533,249,45.69746979,9.665002307,8.0,4.338709677,8,2.483066422,0.807408723,0.834504847,0.332426001,0.186868157,52.80538823,0.227356675,0.975592782,404.2090084,0.772406989,0.151165515,40.11,98.75696384,2.38,0.351898273,22865.44456,0.499423166,0.023650977,0.7261,330.85,455.63,1020.061571,Bergamo
Brescia,2410,149,45.53349051,10.22699104,8.0,4.548387097,9,2.458099627,0.800864388,0.851972788,0.367931477,0.165818935,57.16696706,0.208958855,0.959961843,263.8523645,0.712237066,0.196655237,41.1,100.2294132,2.34,0.328157158,21915.48691,0.498551467,0.08896805,0.6948,367.16,528.46,1119.842113,Brescia
Pavia,2623,77,45.19864546,9.16567837,7.258064516,3.870967742,11,2.28995504,0.751468182,0.783977813,0.488476308,0.153178032,60.82815745,0.156228257,0.968650037,184.3446957,0.724486628,0.192408717,45.09,102.0950433,2.2,0.221364558,22462.67495,0.379818231,0.015437158,0.4834,248.11,513.24,1089.810708,Pavia
Cremona,2389,45,45.14184075,10.03065794,7.677419355,4.193548387,9,2.418446911,0.846133406,0.850834965,0.425858,0.175637635,60.92242458,0.128745707,0.971237868,202.994393,0.737673189,0.188853146,44.68,106.6350449,2.32,0.236050254,22407.43071,0.476823389,0.011091077,0.7791,370.88,476.06,1097.977673,Cremona
Mantova,2388,19,45.15013245,10.80832761,7.677419355,4.193548387,9,2.496902842,0.834812089,0.860143862,0.396175356,0.167524488,57.44273116,0.130263921,0.906694487,176.229325,0.716149866,0.198545035,48.03,118.8851147,2.39,0.292766251,21383.32183,0.537947418,0.020685393,0.8645,451.31,522.05,1143.452655,Mantova
Lecco,2383,214,45.85852164,9.423869905,7.709677419,4.548387097,8,2.441132919,0.761671893,0.81889804,0.420159269,0.160807767,61.27151877,0.258380467,0.982819423,416.458387,0.776885181,0.15068503,40.54,98.18656727,2.34,0.295602272,24668.32368,0.548524353,0.041086199,0.7039,336.51,478.03,1052.948078,Lecco
Lodi,2592,87,45.31565646,9.504615699,7.258064516,3.870967742,11,2.429478827,0.873125683,0.874223992,0.305363974,0.219305839,48.50484461,0.101487152,0.977153583,292.9046737,0.770434595,0.170757714,40.68,98.20463626,2.36,0.214529284,22943.38022,0.386275572,0.010364615,0.7253,314.26,433.26,1008.119021,Lodi
Monza,2404,162,45.58621878,9.277153368,7.870967742,4.35483871,8,2.431695761,0.717236424,0.783386297,0.33130156,0.19211182,46.59256649,0.095158799,0.991656043,2143.138587,0.798652536,0.139379,39.14,94.63830896,2.33,0.316543055,25137.556,0.468385369,0.008466276,0.7105,299.73,421.85,1059.320327,Monza
Bolzano,2791,262,46.48665216,11.34971108,6.161290323,2.693548387,7,2.52857558,0.270704447,0.789210748,0.345733501,0.273737798,53.3164203,0.123939558,0.856599616,70.86760406,0.684853436,0.244584573,37.17,92.14904598,2.37,0.367701524,23438.50348,0.295955981,0.42398561,0.6644,314.92,474.01,1080.960447,Bolzano
Trento,3001,431,46.06237946,11.11174718,6.161290323,2.435483871,7,2.391927736,0.673744289,0.799962327,0.493223829,0.150368739,71.12638477,0.368688274,0.954168191,86.7741334,0.73562263,0.188527757,40.25,94.85710379,2.28,0.315434272,21317.89187,0.328788886,0.31300176,0.7431,361.42,486.4,1094.496142,Trento
Verona,2468,59,45.44959943,11.00319102,7.225806452,3.548387097,9,2.477487689,0.825183672,0.864234061,0.347750683,0.167078758,53.19508537,0.163093715,0.940775666,297.6292074,0.708266061,0.208905656,44.32,108.5041734,2.36,0.355955636,21863.70767,0.368946789,0.159292371,0.7117,357.24,501.95,1116.26302,Verona
